id,name_cn,rank,total
823,名侦探柯南 瞳孔中的暗杀者,1839,2827
827,日在校园,4829,5969
836,青出于蓝,2461,602
837,死亡代理人,1220,919
839,蓝色恐惧,16,6300
840,千年女优,23,7813
841,红辣椒,48,7721
842,东京教父,92,4845
843,妄想代理人,179,3199
844,人狼,145,1815
847,蜂蜜与四叶草,50,4412
848,蜂蜜与四叶草II,47,3317
849,出包王女,2838,3831
860,星际牛仔 天国之扉,97,4544
965,永生之酒,111,8289
865,隐之王,4263,1276
866,噬魂师,986,2878
976,怪 ～ayakashi ～,786,1153
975,海贼王,73,9551
875,爆炸头武士,1639,548
876,CLANNAD 〜AFTER STORY〜,4,18239
981,BLOOD+,1827,1017
880,水果篮子,879,2077
883,黑执事,2592,3253
884,混沌头,6843,2058
885,食灵-零-,593,4151
886,穿越宇宙的少女,5880,548
887,仰望天空的少女瞳中的世界,6795,697
888,迷宫塔 ～乌鲁克之剑～,2819,929
889,南家三姐妹 欢迎回来,1505,2793
890,南家三姐妹 再来一碗,2307,2786
891,续 夏目友人帐,206,5862
892,背骑少女,3485,485
893,灰羽联盟,590,1645
894,玛利亚狂热,1642,2903
895,今天开始做魔王,3769,842
896,向阳素描,784,1369
897,今天开始做魔王 第二季,3359,453
898,黑神,6608,541
899,名侦探柯南,607,6967
902,神薙,2064,3422
907,药师寺凉子怪奇事件簿,4235,596
909,龙与虎,180,16074
916,魍魉之匣,1193,1387
917,亡念之扎姆德,1022,1116
918,草莓棉花糖 OVA 第2期,514,1178
919,道子与哈金,843,949
921,最终流放,436,1913
922,岩窟王,1095,627
923,尸姬 赫,5546,677
927,秒速5厘米,225,15376
928,现视研,443,2660
1039,超级无敌掌门狗之世纪大骗兔,1704,132
965,永生之酒,117,8291
968,天体战士,298,1191
970,武装机甲,6640,415
973,月咏,3209,608
974,深渊传说,4028,806
975,海贼王,71,9553
976,怪 ～ayakashi ～,780,1153
977,阿滋漫画大王,444,1479
978,黑塔利亚,1205,2652
979,黑礁,358,4268
980,黑礁 The Second Barrage,239,3644
981,BLOOD+,1823,1017
982,大剑,1042,2858
985,机动战士V高达,1921,607
993,白色相簿,1445,2666
995,欢迎加入NHK！,137,5173
1002,非常偶像Key,2366,150
1009,新安琪莉可Abyss,5901,110
1010,机动战士高达00 第二季,964,3686
1011,ToHeart2 adplus,3602,252
1014,魔法禁书目录,3274,9782
1015,机动战士高达0080 口袋里的战争,31,3280
1025,蔷薇少女,1446,3439
1026,蔷薇少女 梦之终结,1484,2274
1027,舞-HiME,1352,1603
1028,舞-乙HiME,2829,1075
1029,悠久之翼2,175,4173
1030,翼神传说,724,1219
1037,泰坦尼亚,4593,208
1038,超智游戏,380,1351
1039,超级无敌掌门狗之世纪大骗兔,1699,132
1040,超级无敌掌门狗：月球野餐记,1509,103
1044,传颂之物,1447,2319
1064,秀逗魔导士EVOLUTION-R,3344,481
1077,Kanon,4196,686
1103,零之使魔 双月骑士,2845,3920
1104,机器人总动员,116,4791
1109,Fresh 光之美少女！,1291,271
