sid,title,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,rank,vote,avg,std,user
147343,愤怒的小鸟,0,0,1,7,28,82,69,12,2,0,4790,201,6.268656716417911,0.9606500113701332,329
220375,遥的接球,5,3,7,26,106,298,297,85,12,10,4791,849,6.385159010600707,1.201222876872462,1816
3241,吸血鬼同盟,3,4,24,63,173,453,393,182,33,20,4792,1348,6.396142433234421,1.308061044006091,2377
277551,地缚少年花子君,8,9,16,55,208,699,695,189,24,21,4793,1924,6.409043659043659,1.1618240194400966,3932
303157,小碧蓝幻想！,0,0,3,2,34,105,78,11,0,3,4794,236,6.27542372881356,0.9679119970396145,469
317692,新罗马浴场,0,1,2,4,20,54,43,7,0,1,4795,132,6.174242424242424,1.0765841894566641,244
25714,蓝皮鼠和大脸猫,3,2,4,6,38,104,92,22,5,5,4796,281,6.306049822064057,1.3119756574081858,574
49983,我的朋友很少 第0话,6,2,12,15,138,347,338,100,15,12,4797,985,6.3949238578680205,1.1919248687226611,1956
318227,指名！,1,1,2,14,53,128,88,38,4,8,4798,337,6.332344213649852,1.25971294369315,847
116145,哈皮父子,0,1,4,6,21,42,33,5,1,4,4799,117,6.111111111111111,1.3760949193171814,307
42690,超重神GRAVION Zwei,0,0,2,1,18,42,14,6,0,0,4800,83,6.0,0.9694116958983826,161
310950,世界魔女 起飞！,1,0,2,4,43,98,72,18,2,4,4801,244,6.278688524590164,1.1254310291367147,545
12193,四娘物语,1,0,5,11,29,101,62,22,3,5,4802,239,6.2677824267782425,1.2656748157693476,422
27337,铁拳：血之复仇,0,1,3,10,28,55,47,15,2,3,4803,164,6.2073170731707314,1.2995102724661671,271
284575,UCHITAMA?!～猫狗宠物街～,4,0,1,4,19,38,42,9,1,0,4804,118,6.110169491525424,1.394808159490436,293
3283,超级机器人大战OG 圣战,1,0,6,21,30,75,63,30,7,4,4805,237,6.274261603375527,1.4307842052916986,403
309921,灼热卡巴迪,0,1,5,6,16,46,34,12,0,1,4806,121,6.12396694214876,1.2764248103307299,268
38125,名侦探柯南 柯南、平次与消失的少年,1,0,1,8,37,111,79,19,0,4,4807,260,6.276923076923077,1.0778567381284927,537
221637,剧场版 超时空要塞Δ 激情的Walküre,0,1,6,7,39,120,101,24,2,3,4808,303,6.303630363036303,1.1081248196136402,541
136336,传颂之物 虚伪的假面,7,13,27,116,207,543,627,272,32,19,4809,1863,6.395061728395062,1.3335818141856928,3315
278202,刃牙 大擂台赛篇,2,0,5,8,51,156,120,29,5,6,4810,382,6.327225130890052,1.1600876237878845,687
228378,弦音 -风舞高中弓道部-,4,4,13,34,120,370,360,117,9,13,4811,1044,6.39272030651341,1.1958519760369495,2028
174141,野球少年,0,2,7,12,48,125,95,42,7,2,4812,340,6.314705882352941,1.2311239133269234,706
38122,名侦探柯南 追踪消失的钻石！柯南·平次VS基德,0,1,1,8,44,143,85,25,1,7,4813,315,6.314285714285714,1.0923772159192129,660
309753,不要欺负我，长瀞同学,12,6,23,43,180,414,478,152,16,30,4814,1354,6.392171344165436,1.3470129479759594,2732
253628,家有女友,22,23,35,119,339,964,1006,336,52,66,4815,2962,6.409858203916273,1.3532704952211907,5329
117149,熊出没之雪岭熊风,3,2,4,7,19,38,34,13,6,2,4816,128,6.140625,1.6758131188694638,274
2904,愿你在此,0,2,1,10,9,22,11,5,2,1,4817,63,5.857142857142857,1.5620209016054023,120
239839,年轻老板娘是小学生！,0,1,2,5,31,64,51,12,1,2,4818,169,6.207100591715976,1.1351080528550817,418
1987,完美小姐进化论,6,4,8,35,80,176,195,79,16,10,4819,609,6.362889983579639,1.4273894285272777,1045
17119,魔法老师涅吉！,2,3,5,16,70,160,162,57,8,2,4820,485,6.348453608247422,1.2117222472781608,974
13485,萝球社！,14,14,32,110,334,813,748,302,63,62,4821,2492,6.406500802568218,1.3790473319430787,4357
235705,花篇,0,0,1,1,17,41,4,4,0,1,4822,69,5.913043478260869,0.9741459348873078,139
46124,闪电狗,0,0,4,12,40,102,100,18,3,4,4823,283,6.30035335689046,1.1301676986546603,534
27993,蓝龙,1,0,0,5,16,71,45,6,0,0,4824,144,6.180555555555555,0.932833033900388,320
46112,汽车总动员2,1,1,2,10,44,147,117,24,7,2,4825,355,6.323943661971831,1.0795753975890463,665
349442,机动战士高达 库库鲁斯·杜安之岛,4,2,4,10,51,128,133,36,4,4,4826,376,6.324468085106383,1.259448221821574,567
9470,落语天女,0,0,2,4,14,33,17,3,0,0,4827,73,5.931506849315069,1.0247454361241122,163
51212,枪械少女 OAD,3,0,0,13,25,67,65,11,1,5,4828,190,6.231578947368421,1.337339319056173,391
3284,超级机器人大战OG THE ANIMATION,0,0,3,6,22,45,35,6,1,2,4829,120,6.125,1.1941698650806203,218
390712,她去公爵家的理由,3,1,2,2,11,32,12,4,2,2,4830,71,5.915492957746479,1.7012545401890296,361
294202,ARGONAVIS from BanG Dream! ANIMATION,0,0,3,6,15,34,21,3,2,1,4831,85,6.011764705882353,1.2508267162354836,216
388170,枪神 斯坦比特,5,7,18,45,152,395,367,166,26,10,4832,1191,6.392947103274559,1.2867929386234884,2645
263804,历·历史,0,2,3,3,25,52,33,6,2,4,4833,130,6.1461538461538465,1.3365370780291677,304
374228,D4DJ Double Mix,0,1,0,1,18,41,17,2,0,0,4834,80,5.9625,0.8866192813152667,147
90005,KERORO,2,0,3,5,21,58,40,11,0,3,4835,143,6.1678321678321675,1.3115197717505076,342
85338,无畏魔女,4,2,6,32,85,291,265,87,6,8,4836,786,6.374045801526718,1.174382266481355,1483
110658,Under The Dog,4,2,3,24,74,228,201,67,8,6,4837,617,6.363047001620745,1.1974293587112568,1000
250514,3D彼女 第二季,4,2,4,16,35,101,75,30,7,9,4838,283,6.30035335689046,1.5078943789860673,616
